cwe_name,summary,cvss
Libreoffice Security Update (31 Dec 2023),"Multiple vulnerabilities have been discovered in LibreOffice software suite. Upgrade libreoffice packages to resolve the issues.
CVE ID: CVE-2023-6186, CVE-2023-6185, CVE-2020-12803, CVE-2020-12802, CVE-2020-12801",5.657784676772001
SUSE Security Updates (29 Dec 2023),SUSE has released security updates to resolve multiple vulnerabilities in several products.,4.89323140878769
SUSE Security Updates (28 Dec 2023),SUSE has released security updates to resolve multiple vulnerabilities in several products.,4.89323140878769
Multiple Vulnerabilities in Several NetApp Products (27 Dec 2023),Multiple vulnerabilities have been discovered in several NetApp products. An attacker can exploit these vulnerabilities to take control of an affected system.,5.8262975446059455
Vulnerability in IBM Maximo Application Suite - IoT Component (26 Dec 2023),"An arbitrary code execution vulnerability by sending a specially crafted request has been discovered in IBM Maximo Application Suite - IoT Component's ""quartz-jobs-2.3.2.jar"". The affected products are IBM Maximo Application Suite - IoT Component 8.7 & IoT Component 8.8. Security updates are available.
CVE ID: CVE-2023-39017 (Critical)",6.453949255071999
Google Released Security Updates for Chrome (26 Dec 2023),Google has released an updated stable channel to 119.0.6045.214 (Platform version: 15633.72.0) for most ChromeOS devices to resolve multiple bugs.,5.647003117082379
Multiple Vulnerabilities in Several IBM Products (26 Dec 2023),Multiple vulnerabilities have been discovered in several IBM products. An attacker can exploit these vulnerabilities to take control of an affected system.,5.7358511160345165
SUSE Security Updates (26 Dec 2023),SUSE has released security updates to resolve multiple vulnerabilities in several products.,4.89323140878769
Multiple Vulnerabilities in Docker (25 Dec 2023),"Multiple vulnerabilities have been identified within Docker shipped as pattern type (pType) component with Cloud Pak System Software.
CVE ID: CVE-2023-28842 (Medium), CVE-2023-28840 (High), CVE-2023-28841 (Medium)",5.793312072125454
SUSE Security Updates (25 Dec 2023),SUSE has released security updates to resolve multiple vulnerabilities in several products.,4.89323140878769
IBM Security SOAR is using a component with a known vulnerability (23 Dec 2023),"IBM Security SOAR uses an older version of Apache ActiveMQ that may be identified and exploited. Updates for supported versions have been released which address the issue.
CVE ID: CVE-2023-46604 (Critical)",4.987224984538102
Vulnerability in Moxa ioLogik E1200 Series firmware (23 Dec 2023),"A Cross-Site Request Forgery (CSRF) vulnerability and an use of a Broken or Risky Cryptographic Algorithm vulnerability have been identified in Moxa ioLogik E1200 Series firmware versions v3.3 and prior.
CVE ID: CVE-2023-5961, CVE-2023-5962",5.3871528273602625
osslsigncode security update (23 Dec 2023),"A Buffer Overflow vulnerability has been found in osslsigncode, which possibly allows an malicious attacker to execute arbitrary code when signing a crafted file.
CVE ID: CVE-2023-36377",7.223704230769228
Critical Vulnerability in crypto-js (21 Dec 2023),"A critical vulnerability has been observed in Brix crypto-js which could allow a remote attacker to obtain sensitive information.
CVE ID: CVE-2023-46233 (Critical)",7.658793077339157
Multiple Vulnerabilities in Several Mitsubishi Electric FA products (21 Dec 2023),"Multiple vulnerabilities exist in several Mitsubishi Electric FA products due to OpenSSL vulnerabilities. An attacker could disclose information in the product or could cause Denial-of-Service (DoS) condition.
CVE ID: CVE-2022-4304, CVE-2022-4450, CVE2023-0286",5.2435093623885844
